"year","month","rain_bom_stn","rain_awap","rain_emast"
1948,4,19.2,21.2999992370605,NA
1948,5,127,109.199996948242,NA
1948,6,80.3,81.5999984741211,NA
1948,7,4.4,5.69999980926514,NA
1948,8,7.9,11.8000001907349,NA
1948,9,47,51.2999992370605,NA
1948,10,12.2,13.3999996185303,NA
1948,11,23.1,23.2999992370605,NA
1948,12,62.7,74.8000030517578,NA
1949,1,193.8,207.5,NA
1949,2,119,131.399993896484,NA
1949,3,87.7,100.400001525879,NA
1949,4,24.5,22,NA
1949,5,110.7,79.6999969482422,NA
1949,6,274.9,254.699996948242,NA
1949,7,28.9,28,NA
1949,8,52.4,63.0999984741211,NA
1949,9,108.2,114,NA
1949,10,43.4,40.7999992370605,NA
1949,11,95.8,105.400001525879,NA
1949,12,39.3,47.0999984741211,NA
1950,1,130.4,129.399993896484,NA
1950,2,166.3,201.199996948242,NA
1950,3,171.1,173.899993896484,NA
1950,4,136.4,144.399993896484,NA
1950,5,118.5,107,NA
1950,6,531.3,457.700012207031,NA
1950,7,204,188.600006103516,NA
1950,8,43.5,46,NA
1950,9,100.5,80.6999969482422,NA
1950,10,124.7,115.800003051758,NA
1950,11,146.1,156.399993896484,NA
1950,12,27.2,18.5,NA
1951,1,426.7,388.299987792969,NA
1951,2,47.4,54.2000007629395,NA
1951,3,95.5,93.4000015258789,NA
1951,4,3.8,4.59999990463257,NA
1951,5,84.2,56.7999992370605,NA
1951,6,271.3,224.899993896484,NA
1951,7,11,13.3000001907349,NA
1951,8,79,63.0999984741211,NA
1951,9,70.2,84,NA
1951,10,25.1,34.0999984741211,NA
1951,11,6.9,7.80000019073486,NA
1951,12,22.6,18.5,NA
1952,1,47.5,47.0999984741211,NA
1952,2,53.1,37.4000015258789,NA
1952,3,94,98.4000015258789,NA
